Region,Country,Category (h2),Newspapers,Count
Africa,Algeria,Arabic-Language Publications,"Echorouk Online (الجزائر – الشروق أونلاين): echoroukonline.com, El Khabar (الخبر): elkhabar.com, Ennahar Online (النهر أونلاين): ennaharonline.com, El Bilad (البلاد): elbilad.net, El Massa (المساء): elmassa.com, Al Fadjr (الفجر): alfadjr.net, Algerie1 (الجزائر1): algerie1.com",7
Africa,Algeria,English-Language Newspapers in Algeria,"Algeria Press Service (APS – English): aps.dz, The North Africa Journal: north-africa.com, Algeria.com News: algeria.com",3
Africa,Algeria,French-Language Publications,"Liberté: liberte-algerie.com, El Watan: elwatan.com, TSA (Tout sur l'Algérie): tsa-algerie.com, L'Expression: lexpressiondz.com, Le Soir d'Algérie: lesoirdalgerie.com, La Tribune: latribune-online.com, Le Quotidien d'Oran: lequotidien-oran.com",7
Africa,Algeria,Online-Only & Emerging Platforms,"Dzair Daily: dzairdaily.com, Algeria-Watch: algeria-watch.org, Algerie Eco: algerie-eco.com, Algeria360: algeria360.com",4
Africa,Algeria,Tamazight (Berber) & Multilingual Publications,"La Dépêche de Kabylie: depechedekabylie.com, Sawt El Ahrar: sawtelahrar.net, Tafsut: ",3
Africa,Botswana,Online and Digital News Platforms,"Yahoo News Botswana: yahoo.com, Botswana Unplugged: botswanaunplugged.com, The Botswana Tribune: botswanatribune.com, Africa-Press – Botswana Section: africa-press.net, Botswana Daily News (Online Edition): dailynews.gov.bw, Gazette Africa (Botswana Coverage): gazetteafrica.com, The Okavango Express: okavangoexpress.com",7
Africa,Botswana,Setswana and Multilingual Publications,"Dikgang Tsa Gompieno (Setswana Daily): dikgangtsagompieno.co.bw, Naledi Ya Botswana (Setswana Weekly): nalediyabw.com, Mokgosi Newspaper: mokgosi.co.bw, The Ngami Times: ngamitimes.com, Tswana Times: tswanatimes.co.bw",5
Africa,Botswana,Top English-Language Newspapers in Botswana,"Mmegi Online: megi.bw, The Botswana Gazette: thegazette.news, Sunday Standard: sundaystandard.info, The Voice Newspaper: thevoicebw.com, Mmegi Monitor: monitor.mmegi.bw, DailyNews Botswana (Government-owned): dailynews.gov.bw, BW BusinessWeek: businessweekbw.com, The Patriot on Sunday: thepatriot.co.bw, The Midweek Sun: themidweeksun.co.bw, Botswana Guardian: botswanaguardian.co.bw, The Telegraph Online: telegraphbw.com, Echo Newspaper: echonewspaper.org",12
Africa,Cameroon,Bilingual & Other Language Publications,"Cameroon Tribune (Bilingual): cameroon-tribune.cm, Journal du Cameroun (Bilingual): journalducameroun.com, 237 Actu: 237actu.com, Cameroon Voice: cameroonvoice.com, Hibari Times (Pidgin English): facebook.com",5
Africa,Cameroon,French-Language Publications,"Le Messager: lemessager.net, Mutations: mutations-online.com, La Nouvelle Expression: lanouvelleexpression.com, Cameroun Actuel: camerounactuel.com, 237 Online: 237online.com, Cameroon-Info.Net: cameroon-info.net, EcoMatin: ecomatin.net, Actu Cameroun: actucameroun.com, L’Œil du Sahel: loeildusahel.com, CameroonWeb: cameroonweb.com",10
Africa,Cameroon,Top English-Language Newspapers in Cameroon,"The Post Newspaper: thepostnewspaper.cm, Cameroon Tribune (English Edition): cameroon-tribune.cm, Journal du Cameroun (English Section): journalducameroun.com, Cameroon Concord News: cameroon-concord.com, The Guardian Post: guardianpostcameroon.com, Cameroon News Agency (CNA): cameroonnewsagency.com, The Sun Newspaper: sunnewsonline.com, Cameroon Radio Television (CRTV English News): crtv.cm, Pan African Visions (Cameroon Section): panafricanvisions.com, The National Times: nationaltimes.net",10
Africa,Cape Verde,English-Language & Multilingual News Sources,"Cabo Verde News (English Section): caboverdenews.com, The Cape Verdean (UK-Based Diaspora News): thecapeverdean.com, Cape Verde Islands (Tourism & News): capeverdeislands.org, Africa News – Cape Verde Section: africanews.com",4
Africa,Cape Verde,Other Language & Niche Publications,"Crioulo (Cape Verdean Creole Content): crioulo.cv, France 24 – Cape Verde (French Coverage): france24.com, Deutsche Welle – Cape Verde (German Coverage): dw.com, Rádio Morabeza (Multilingual Radio & News): rm.cv, Cape Verde Magazine (Lifestyle & Culture): capeverdemagazine.com, Cabo Verde 24 (Business & Economy): caboverde24.com, Vibe Cape Verde (Entertainment & Events): vibecapeverde.com",7
Africa,Cape Verde,Portuguese-Language Publications (Primary Language),"A Nação: anacao.cv, Expresso das Ilhas: expressodasilhas.cv, Inforpress: inforpress.publ.cv, A Semana: asemana.publ.cv, Oceanpress: oceanpress.info, RTC (Rádio Televisão Caboverdiana): rtc.cv, Praia News: praianews.com, Sapo CV (Cape Verdean Portal): sapo.cv, Criolo Sports: criolosports.com, Mindel Online: mindelonline.com",10
Africa,Central African Republic,English-Language & International Coverage,"Central African Republic News (UN Mission - MINUSCA Updates): minusca.unmissions.org, RFI English (CAR Coverage): rfi.fr, BBC News Africa (CAR Section): bbc.com, Al Jazeera English (CAR Reports): aljazeera.com, France 24 English (CAR Updates): france24.com",5
Africa,Central African Republic,French-Language Publications (Primary Language),"Radio Ndeke Luka: radiondekeluka.org, Le Confident: leconfident.net, Corbeau News: corbeaunews-centrafrique.com, Centrafrique Presse: centrafriquepresse.com, Journal de Bangui: journaldebangui.com, Oko Times: okotimes.net, L’Hirondelle: lhirondelle.org, Ndjoni Sango: ndjonisango.com, Centrafrique Libre: centrafrique-libre.com, Bangui Info: banguiinfo.com",10
Africa,Central African Republic,Other Notable Outlets,"Agenzia Fides (Vatican News - CAR Coverage): fides.org, Human Rights Watch (CAR Reports): hrw.org, The New Humanitarian (CAR Crisis Updates): thenewhumanitarian.org, ReliefWeb (CAR Situation Reports): reliefweb.int",4
Africa,Central African Republic,Sango-Language Publications,"Radio Lengo Songo: radiolengosongo.net, Be Afrika: beafrika.com",2
Africa,Chad,Arabic-Language Publications,"Alwatan: alwatan.com, Sahara Media: saharamedia.net, Chad News (Arabic Section): chadnews.com",3
Africa,Chad,English-Language & International Coverage,"Chad News (English Section): chadnews.com, Africa News – Chad Section: africanews.com, Reuters – Chad Coverage: reuters.com, BBC News – Chad: bbc.com, Al Jazeera English (CAR Reports): aljazeera.com, France 24 English (CAR Updates): france24.com",6
Africa,Chad,French-Language Publications (Primary Language),"Le Progrès: leprogres.td, Tchad Infos: tchadinfos.com, Alwihda Info: alwihdainfo.com, Tchad Actuel: tchadactuel.com, Journal du Tchad: journaldutchad.com, Tchad 24: tchad24.net, Tchad Tribune: tchadtribune.com, Tchad Presse: tchadpresse.net",8
Africa,Chad,Regional & Independent Outlets,"Radio Ndarason International: ndarason.com, Tchad Online: tchadonline.com, Sahel Tribune: saheltribune.com, L’Observateur: lobservateur.info, Tchad Connexion: tchadconnexion.com, La Voix du Tchad: lavoixdutchad.com, Chad Daily News: chaddailynews.com",7
Africa,Congo,French-Language Publications (Majority in Congo),"Les Dépêches de Brazzaville: lesdepechesdebrazzaville.com, La Semaine Africaine: lasemaineafricaine.net, ADIAC (Agence d’Information d’Afrique Centrale): adiac-congo.com, Congo-Site: congo-site.com, Brazza News: brazzanews.com, Congo Media Time: congomediatime.com, Journal de Brazza: journaldebrazza.com, Mbongui: mbongui.org, Congo Actuel: congoactuel.com, L’Observateur: lobservateur.info",10
Africa,Congo,International & Diaspora-Focused,"Congo Liberty (French/English): congoliberty.com, Congo Panorama (French/English): congopanorama.info, 7sur7.cd (DRC & Congo-Brazzaville): 7sur7.cd, Radio Okapi (French/Lingala): radiookapi.net, Actualité.CD: actualite.cd",5
Africa,Congo,Local Language & Multilingual Publications,"Mwinda Press (Lingala/French): mwinda.org, Top Congo FM (Lingala/French): topcongofm.net, Nzondo TV (Kikongo/French): nzondotv.com",3
Africa,Equatorial Guinea,English-Language Publications,"Equatorial Guinea Press: guineaecuatorialpress.com, Equatorial Guinea Today: equatorialguineatoday.org",2
Africa,Equatorial Guinea,French-Language Publications,"Afrique Media – Guinée Équatoriale: afriquemedia.tv, Jeune Afrique – Guinée Équatoriale: jeuneafrique.com",2
Africa,Equatorial Guinea,International Coverage on Equatorial Guinea,"BBC News – Equatorial Guinea: bbc.com, Reuters – Equatorial Guinea: reuters.com, Al Jazeera – Equatorial Guinea: aljazeera.com, AllAfrica – Equatorial Guinea: allafrica.com, Africanews – Equatorial Guinea: africanews.com, The Guardian – Africa (Equatorial Guinea): theguardian.com",6
Africa,Equatorial Guinea,Other Languages & Regional Publications,"Equatonews (Bilingual: Spanish/French): equatonews.com, Akonibe TV (Fang Language): akonibetv.com, Radio Macuto (Spanish/Fang): radiomacuto.com",3
Africa,Equatorial Guinea,Spanish-Language Publications (Main Language),"Radio Televisión Guinea Ecuatorial (RTGE): rtve.es, Ahora EG: ahoraeg.com, Diario Rombe: diariorombe.es, Página Oficial del Gobierno: guineaecuatorialpress.com, El Nacional GE: elnacionalge.com, La Gaceta de Guinea: lagacetadeguinea.com, Europa Press – Equatorial Guinea: europapress.es, Malabo Press: malabopress.com",8
Africa,Gabon,English-Language Publications (Limited but Notable),"Gabon Daily News: gabondailynews.com, Africa News – Gabon Section: africanews.com",2
Africa,Gabon,French-Language Publications (Primary Language in Gabon),"L’Union: lunion.ga, Gabon Review: gabonreview.com, Gabon Media Time: gabonmediatime.com, Info241: info241.com, Gabon Actu: gabonactu.com, Gabon 24: gabon24.com, Le Nouveau Gabon: lenouveaugabon.com, La Libreville: lalibreville.com, Gabon News: gabonnews.ga, Média241: media241.com, L’Aube: laubenews.com, Gabon Eco: gaboneco.com",12
Africa,Gabon,Other Language & Multilingual Publications,"RFI Afrique – Gabon: rfi.fr, DW Afrique – Gabon: dw.com, BBC Afrique – Gabon: bbc.com, Jeune Afrique – Gabon: jeuneafrique.com, Agence Gabonaise de Presse (AGP): agpgabon.ga, Ogooué Infos: ogoueinfos.com, Gabon Overseas: gabonoverseas.com",7
Africa,Gambia,English-Language Publications,"The Point: thepoint.gm, Foroyaa: foroyaa.gm, The Standard: standard.gm, Gambiana: gambiana.com, Kerr Fatou: kerrfatou.com, Freedom Newspaper: freedomnewspaper.com, The Fatu Network: fatunetwork.net, Gambia News Online: gambianewsonline.com, SMBC News: smbcnews.com, Gambia Daily: gambiadaily.com, West Africa Journal: westafricajournal.com, What’s On Gambia: whatson-gambia.com, Gambia Times: gambiatimes.gm, The Voice Gambia: voicegambia.com, Gamsports: gamsports.com",15
Africa,Gambia,Multilingual and Local Language Publications,"Lamin Communications (Wolof & English): facebook.com, Kibaaro News (Mandinka and English): kibaaro.com, Star FM Radio (Multilingual): starfm.gm, Kerr Fatou (Wolof Section): kerrfatou.com, Sud FM Gambia (Wolof and French): sudfm.net, Gambia Radio and Television Services (GRTS) (Multilingual): grts.gm",6
Africa,Guinea,English-Language News Sites (Limited but Notable),"Guinea News Agency (AGP): agpguinee.com, Africa Guinee (English Section): africaguinee.com",2
Africa,Guinea,French-Language Publications (Primary Language),"Guinée News: guineenews.org, Mosaiqueguinee: mosaiqueguinee.com, Africaguinee: africaguinee.com, Kaloum Presse: kaloumpresse.com, Guinee7: guinee7.com, Lynx Media: lynxmedia.info, Le Djely: ledjely.com, Guinée Matin: guineematin.com, Vision Guinee: visionguinee.info, Guinée 24: guinee24.com, Liberté Guinée: liberteguinee.com, Guinée Actu: guineeactu.com",12
Africa,Guinea,International Coverage with Guinean Focus,"RFI Afrique (French): rfi.fr, BBC Afrique (French): bbc.com, Jeune Afrique (French): jeuneafrique.com, APA News (English/French): apanews.net",4
Africa,Guinea,Local Language and Multilingual Publications,"Fim FM (Pular/Fula): fimfm.com, Espace TV (French and Local Languages): espacetvguinee.net, Radio Rurale Guinée (Local Languages): radiorural.org, Hadafo Media (French and Local News): hadafomedia.com",4
Africa,Kenya,Additional Niche & Specialized Platforms,"Kenyan Arts & Culture: kenyanarts.co.ke, Kenyan Food & Recipes: kenyanfood.co.ke, Kenya Medical News: kenyamedical.co.ke, Kenya Real Estate: kenyanrealestate.co.ke, Kenya Climate & Environment: kenyaclimate.co.ke",5
