Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Origin,Associated Types,River Basin,Start Date,End Date,Duration
Flood,Flood (General),SYR,Syrian Arab Republic,Western Asia,Asia,"Idleb, Lattaquié, Hama",Heavy rain,,,2026-02-08,2026-02-10,2
Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,Greater Jakarta area and the Indramayu regency (Java Isl.),Heavy rain,,"Cilanang, Srenseng and Medana rivers",2026-01-28,2026-02-03,6
Flood,Flood (General),COL,Colombia,Latin America and the Caribbean,Americas,"Cordoba, Sucre, Cauca, La Guajira, Chocó, and Antioquia, Narino, departments",Torrential rain,,Sinu river,2026-01-26,2026-02-11,16
Flood,Flood (General),TUN,Tunisia,Northern Africa,Africa,"Laghouat, Blida, Djelfa, Mascara, El Bayadh, Boumerdes, Tunis, Ariana, Manouba, Ben Arous, Bizerte,Nabeul, Sousse, Monastir, Mahdia, Sfax, Béja, Jendouba, and Kef",Heavy rain,,,2026-01-18,2026-01-21,3
Flood,Flood (General),DZA,Algeria,Northern Africa,Africa,"Laghouat, Blida, Djelfa, Mascara, El Bayadh, Boumerdes, Relizane, Chlef, Alger, Tiaret, Tissemsilt, Médéa, Tipaza, and Aïn Defla provinces",Heavy rain,,,2026-01-18,2026-01-20,2
Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,"Sitaro Islands regency (Celebes, North Sulawesi province); Sumbawa, North Sulawesi, and Halmahera Island",Heavy rains,,,2026-01-06,2026-01-08,2
Flood,Flash flood,AFG,Afghanistan,Southern Asia,Asia,"Herat, Badghis, and Faryab provinces",Heavy rain,,,2026-01-02,2026-01-04,2
Flood,Flood (General),ZWE,Zimbabwe,Sub-Saharan Africa,Africa,"Masvingo, Manicaland, Midlands, and Mashonaland East provinces",Heavy rains,,,2026-01-01,2026-01-26,25
Flood,Flood (General),USA,United States of America,Northern America,Americas,"Santa Barbara, Ventura, Los Angeles, and San Bernardino counties (California)","Heavy rains, phénomène 'rivière atmosphérique' (Pineapple Express - Ananas Express)",Storm,,2025-12-23,2025-12-25,2
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,"West Nusa Tenggara, North Sulawesi, North Sumatra, and East Java provinces",Heavy rain,,,2025-12-21,2025-12-23,2
Flood,Flood (General),IDN,Indonesia,South-eastern Asia,Asia,"Sampang, Jember Regencies ; Banyuwangi, (Java); Banjar Regencies (Kalimantan)",Heavy rain,,,2025-12-16,2025-12-18,2
Flood,Flood (General),IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Ardabil, Azarbayejan Sharghi, Bushehr, Chaharmahal and Bakhtiari, Esfahan, Fars, Ghom, Golestan, Hamedan, Hormozgan, Kerman, Khorasan Jonoubi, Khorasan Razavi, Khorasan Shomali, Khuzestan, Kohgiluyeh va boyerahma, Kurdistan, Markazi, Mazandaran, Semnan, Sistan-o baluchestan, Yazd, Zanjan",,Flood|Lightening,,2025-12-15,2025-12-22,7
Flood,Flash flood,MAR,Morocco,Northern Africa,Africa,Safi province (Marrakesh-Safi region); Tinghir province (Drâa-Tafilalet region),Heavy rain,,,2025-12-14,2025-12-14,0
Flood,Flood (General),MYS,Malaysia,South-eastern Asia,Asia,Terengganu and Pahang,Heavy rain,,,2025-12-14,2025-12-17,3
Flood,Riverine flood,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"El Torno, La Guardia and Cotoca municipalities (Santa Cruz department); Beni, Cochabamba",Heavy rains,"Slide (land, mud, snow, rock)",Piraí and Espejos rivers,2025-12-12,2025-12-16,4
Flood,Flood (General),IRQ,Iraq,Western Asia,Asia,"Ninawa, Sulaymaniyah, Erbil, and Kirkuk governorates",,,,2025-12-09,2025-12-12,3
Flood,Flash flood,MYS,Malaysia,South-eastern Asia,Asia,"Sabah, Sarawak Kelantan, Perlis, Perak, Selangor, Kedah, Penang, Terengganu, and Pahang states",Torrential rain,,,2025-11-22,2025-12-03,11
